DATA,"Ingressos 
 (Planejado)","Ingressos 
(Real)","Ingressos 
 (Tráfego)","Ingressos
Tráfego
(Real)",Ingressos Acumulado (Planejado),Diferença,Lote, Ticket ," CPV
(Planejado) "," CPV
(Real) "," CPV Tráfego
(Planejado) "," CPV Tráfego
(Real) ", Investimento (Planejado) , Investimento (Real) ,"Diferença
(diária)", Faturamento (Planejado) , Faturamento (Real) ,"Diferença
(diária)",% dia, Valor Gasto Acumulado (Planejado) ,,,
19/01/2026,14,4,12,3,266,"28,57%",Lote 3," R$  42,00 "," R$  65,34 "," R$  389,27 "," R$  76,23 "," R$  519,03 "," R$  914,78 "," R$  1.557,08 ","170,21%"," R$  588,00 "," R$  225,00 ","38,27%","3,55%"," R$  12.507,14 ",,,
20/01/2026,14,14,12,10,280,"100,00%",Lote 3," R$  42,00 "," R$  65,34 "," R$  122,06 "," R$  76,23 "," R$  170,88 "," R$  914,78 "," R$  1.708,83 ","186,80%"," R$  588,00 "," R$  1.635,00 ","278,06%","3,55%"," R$  13.421,92 ",,,
21/01/2026,15,6,12,3,295,"40,00%",Lote 4," R$  47,00 "," R$  65,00 "," R$  270,15 "," R$  81,24 "," R$  540,30 "," R$  974,93 "," R$  1.620,91 ","166,26%"," R$  705,00 "," R$  434,00 ","61,56%","3,78%"," R$  14.396,85 ",,,
22/01/2026,15,11,12,3,310,"73,33%",Lote 4," R$  47,00 "," R$  65,00 "," R$  133,72 "," R$  81,24 "," R$  490,32 "," R$  974,93 "," R$  1.470,96 ","150,88%"," R$  705,00 "," R$  631,00 ","89,50%","3,78%"," R$  15.371,78 ",,,
23/01/2026,15,4,12,1,325,"26,67%",Lote 4," R$  47,00 "," R$  65,00 "," R$  280,47 "," R$  81,24 "," R$  1.121,86 "," R$  974,93 "," R$  1.121,86 ","115,07%"," R$  705,00 "," R$  579,00 ","82,13%","3,78%"," R$  16.346,71 ",,,
24/01/2026,15,5,12,4,340,"33,33%",Lote 4," R$  47,00 "," R$  65,00 "," R$  186,47 "," R$  81,24 "," R$  233,08 "," R$  974,93 "," R$  932,33 ","95,63%"," R$  705,00 "," R$  536,00 ","76,03%","3,78%"," R$  17.321,65 ",,,
25/01/2026,15,11,12,7,355,"73,33%",Lote 4," R$  47,00 "," R$  65,00 "," R$  109,14 "," R$  81,24 "," R$  171,50 "," R$  974,93 "," R$  1.200,52 ","123,14%"," R$  705,00 "," R$  1.586,00 ","224,96%","3,78%"," R$  18.296,58 ",,,
26/01/2026,22,3,18,3,377,"13,64%",Lote 5," R$  52,00 "," R$  62,92 "," R$  363,58 "," R$  76,90 "," R$  363,58 "," R$  1.384,27 "," R$  1.090,73 ","78,79%"," R$  1.144,00 "," R$  390,00 ","34,09%","5,37%"," R$  19.680,85 ",,,
27/01/2026,22,4,18,1,399,"18,18%",Lote 5," R$  52,00 "," R$  62,92 "," R$  298,27 "," R$  76,90 "," R$  1.193,07 "," R$  1.384,27 "," R$  1.193,07 ","86,19%"," R$  1.144,00 "," R$  639,00 ","55,86%","5,37%"," R$  21.065,11 ",,,
28/01/2026,22,3,18,2,421,"13,64%",Lote 5," R$  52,00 "," R$  62,92 "," R$  276,65 "," R$  76,90 "," R$  414,98 "," R$  1.384,27 "," R$  829,95 ","59,96%"," R$  1.144,00 "," R$  609,00 ","53,23%","5,37%"," R$  22.449,38 ",,,
29/01/2026,28,6,23,2,449,"21,43%",Lote 6," R$  57,00 "," R$  59,12 "," R$  133,33 "," R$  71,97 "," R$  399,99 "," R$  1.655,31 "," R$  799,97 ","48,33%"," R$  1.596,00 "," R$  354,00 ","22,18%","6,43%"," R$  24.104,69 ",,,
30/01/2026,28,11,23,8,477,"39,29%",Lote 6," R$  57,00 "," R$  59,12 "," R$  68,35 "," R$  71,97 "," R$  93,98 "," R$  1.655,31 "," R$  751,82 ","45,42%"," R$  1.596,00 "," R$  1.158,00 ","72,56%","6,43%"," R$  25.760,00 ",,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
