DATA,"Ingressos 
 (Planejado)","Ingressos 
(Real)","Ingressos 
 (Tráfego)","Ingressos
Tráfego
(Real)",Ingressos Acumulado (Planejado),Diferença,Lote, Ticket ," CPV
(Planejado) "," CPV
(Real) "," CPV Tráfego
(Planejado) "," CPV Tráfego
(Real) ", Investimento (Planejado) , Investimento (Real) ,"Diferença
(diária)", Faturamento (Planejado) , Faturamento (Real) ,"Diferença
(diária)",% dia, Valor Gasto Acumulado (Planejado) ,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
,,,,,,,,  ,  ,  ,  ,  ,  ,  ,,  ,  ,,,,,,
