,CONSERVADORA,,,,,,,,,,NUNCA OPERÉ,,,,,,,,,,NUNCA OPERÉ,,,,,,,,,,CONSERVADORA,,,,,,,,,,CONSERVADORA,,,,,,,,
,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento total,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,
,$3.56,"$43,442.56","10,384",1.31%,136,$730.00,"$100,000.00",2.30,,,$1.36,"$12,308.80","7,693",0.91%,70,$706.00,"$50,000.00",4.06,,,$2.80,"$91,102.12","27,656",1.92%,531,$777.00,"$413,270.72",4.54,,,$3.68,"$5,412.18","1,250",822599.50%,"10,283,950",$0.01,"$72,860.94",13.46,,,$5.05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,$0.00,#DIV/0!,
,$4.00,"$48,872.87","10,384",,136,,"$100,000.00",2.05,,,$1.53,"$13,847.40",,,,,,3.61,,,$3.15,"$102,489.88","27,656",,531,,"$413,270.72",4.03,,,$4.14,"$6,088.70","1,250",,"10,283,950",,"$72,860.94",11.97,,,$5.05,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$4.45,"$54,303.19","10,384",,136,,"$100,000.00",1.84,,,$1.70,"$15,386.00",,,,,,3.25,,,$3.50,"$113,877.65","27,656",,531,,"$413,270.72",3.63,,,$4.60,"$6,765.22","1,250",,"10,283,950",,"$72,860.94",10.77,,,$5.61,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$4.89,"$59,733.51","10,384",,136,,"$100,000.00",1.67,,,$1.87,"$16,924.60",,,,,,2.95,,,$3.85,"$125,265.41","27,656",,531,,"$413,270.72",3.30,,,$5.06,"$7,441.75","1,250",,"10,283,950",,"$72,860.94",9.79,,,$6.17,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$5.33,"$65,163.83","10,384",,136,,"$100,000.00",1.53,,,$2.04,"$18,463.20",,,,,,2.71,,,$4.20,"$136,653.18","27,656",,531,,"$413,270.72",3.02,,,$5.52,"$8,118.27","1,250",,"10,283,950",,"$72,860.94",8.97,,,$6.73,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MODERADA,,,,,,,,,,MODERADA,,,,,,,,,,MODERADA,,,,,,,,,,MODERADA,,,,,,,,,,MODERADA,,,,,,,,
,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento total,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,
,$3.56,"$31,439.79","7,515",1.81%,136,$730.00,"$100,000.00",3.18,,,$3.29,"$17,584.44","4,546",1.54%,70,$706.00,"$50,000.00",2.84,,,$4.28,"$93,961.49","18,663",2.85%,531,$777.00,"$413,270.72",4.40,,,$3.68,"$5,412.18","1,250",822600.00%,"10,283,950",$0.01,"$72,860.94",13.46,,,$5.05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,$0.00,#DIV/0!,
,$4.00,"$35,369.77","7,515",,136,,"$100,000.00",2.83,,,$3.70,"$19,782.50",,,,,,2.53,,,$4.81,"$105,706.68","18,663",,531,,"$413,270.72",3.91,,,$4.14,"$6,088.70","1,250",,"10,283,950",,"$72,860.94",11.97,,,$5.05,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$4.45,"$39,299.74","7,515",,136,,"$100,000.00",2.54,,,$4.11,"$21,980.56",,,,,,2.27,,,$5.35,"$117,451.87","18,663",,531,,"$413,270.72",3.52,,,$4.60,"$6,765.22","1,250",,"10,283,950",,"$72,860.94",10.77,,,$5.61,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$4.89,"$43,229.71","7,515",,136,,"$100,000.00",2.31,,,$4.52,"$24,178.61",,,,,,2.07,,,$5.88,"$129,197.05","18,663",,531,,"$413,270.72",3.20,,,$5.06,"$7,441.75","1,250",,"10,283,950",,"$72,860.94",9.79,,,$6.17,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$5.33,"$47,159.69","7,515",,136,,"$100,000.00",2.12,,,$4.93,"$26,376.67",,,,,,1.90,,,$6.42,"$140,942.24","18,663",,531,,"$413,270.72",2.93,,,$5.52,"$8,118.27","1,250",,"10,283,950",,"$72,860.94",8.97,,,$6.73,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARROJADA,,,,,,,,,,Trader,,,,,,,,,,ARROJADA,,,,,,,,,,ARROJADA,,,,,,,,,,ARROJADA,,,,,,,,
,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,
,$3.56,"$24,633.07","5,888",2.31%,136,$730.00,"$100,000.00",4.06,,,$2.35,"$12,563.00","3,944",1.78%,70,$706.00,"$50,000.00",3.98,,,$4.28,"$79,914.85","15,873",3.35%,531,$777.00,"$413,270.72",5.17,,,$3.68,"$5,412.18","1,250",822600.50%,"10,283,950",$0.01,"$72,860.94",13.46,,,$5.05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,$0.00,#DIV/0!,
,$4.00,"$27,712.20","5,888",,136,,"$100,000.00",3.61,,,$2.61,"$13,958.89",,,,,,3.58,,,$4.81,"$89,904.20","15,873",,531,,"$413,270.72",4.60,,,$4.14,"$6,088.70","1,250",,"10,283,950",,"$72,860.94",11.97,,,$5.05,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$4.45,"$30,791.33","5,888",,136,,"$100,000.00",3.25,,,$2.90,"$15,509.88",,,,,,3.22,,,$5.35,"$99,893.56","15,873",,531,,"$413,270.72",4.14,,,$4.60,"$6,765.22","1,250",,"10,283,950",,"$72,860.94",10.77,,,$5.61,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$4.89,"$33,870.47","5,888",,136,,"$100,000.00",2.95,,,$8.09,"$43,240.48",,,,,,1.16,,,$5.88,"$109,882.92","15,873",,531,,"$413,270.72",3.76,,,$5.06,"$7,441.75","1,250",,"10,283,950",,"$72,860.94",9.79,,,$6.17,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$5.33,"$36,949.60","5,888",,136,,"$100,000.00",2.71,,,$8.82,"$47,171.44",,,,,,1.06,,,$6.42,"$119,872.27","15,873",,531,,"$413,270.72",3.45,,,$5.52,"$8,118.27","1,250",,"10,283,950",,"$72,860.94",8.97,,,$6.73,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARROJADA +,,,,,,,,,,ARROJADA,,,,,,,,,,ARROJADA +,,,,,,,,,,ARROJADA +,,,,,,,,,,ARROJADA +,,,,,,,,
,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento total,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,
,$3.56,"$20,248.65","4,840",2.81%,136,$730.00,"$100,000.00",4.94,,,$3.29,"$15,356.41","3,970",2.04%,81,$706.00,"$57,407.41",3.74,,,$4.28,"$69,523.35","13,809",3.85%,531,$777.00,"$413,270.72",5.94,,,$3.68,"$5,412.18","1,250",822601.00%,"10,283,950",$0.01,"$72,860.94",13.46,,,$5.05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,$0.00,#DIV/0!,
,$4.00,"$22,779.73","4,840",,136,,"$100,000.00",4.39,,,$3.70,"$17,275.96","3,970",,81,,"$57,407.41",3.32,,,$4.81,"$78,213.77","13,809",,531,,"$413,270.72",5.28,,,$4.14,"$6,088.70","1,250",,"10,283,950",,"$72,860.94",11.97,,,$5.05,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$4.45,"$25,310.81","4,840",,136,,"$100,000.00",3.95,,,$4.11,"$19,195.51","3,970",,81,,"$57,407.41",2.99,,,$5.35,"$86,904.19","13,809",,531,,"$413,270.72",4.76,,,$4.60,"$6,765.22","1,250",,"10,283,950",,"$72,860.94",10.77,,,$5.61,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$4.89,"$27,841.89","4,840",,136,,"$100,000.00",3.59,,,$4.52,"$21,115.07","3,970",,81,,"$57,407.41",2.72,,,$5.88,"$95,594.61","13,809",,531,,"$413,270.72",4.32,,,$5.06,"$7,441.75","1,250",,"10,283,950",,"$72,860.94",9.79,,,$6.17,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,$5.33,"$30,372.97","4,840",,136,,"$100,000.00",3.29,,,$4.93,"$23,034.62","3,970",,81,,"$57,407.41",2.49,,,$6.42,"$104,285.02","13,809",,531,,"$413,270.72",3.96,,,$5.52,"$8,118.27","1,250",,"10,283,950",,"$72,860.94",8.97,,,$6.73,#DIV/0!,#DIV/0!,,#DIV/0!,,$0.00,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ARROJADA +,,,,,,,,,,Trader,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,CPL Médio,Investimento total,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,CPL Médio,Investimento,N° de Leads,Taxa de Conversão,N° de Vendas,Ticket Médio,Faturamento,ROAS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,$3.29,"$12,331.55","3,188",2.54%,81,$706.00,"$57,407.41",4.66,,,$5.88,"$9,608.61","1,389",4.68%,65,$777.00,"$50,000.00",5.20,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,$3.70,"$13,872.99","3,188",,81,,"$57,407.41",4.14,,,$6.62,"$10,809.69",,,,,,4.63,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,$4.11,"$15,414.43","3,188",,81,,"$57,407.41",3.72,,,$7.35,"$12,010.76",,,,,,4.16,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,$4.52,"$16,955.88","3,188",,81,,"$57,407.41",3.39,,,$8.09,"$13,211.84",,,,,,3.78,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,$4.93,"$18,497.32","3,188",,81,,"$57,407.41",3.10,,,$10.00,"$16,341.18",,,,,,3.06,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
